Date,Power
2023-01-02,211.9
2023-01-03,520.02
2023-01-04,4086.77
2023-01-05,3533.97
2023-01-06,2107.33
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,194.58
2023-01-10,635.57
2023-01-11,4365.58
2023-01-12,4857.66
2023-01-13,3633.76
2023-01-14,4476.28
2023-01-15,4762.74
2023-01-16,3770.25
2023-01-17,1626.02
2023-01-18,3265.24
2023-01-19,3139.38
2023-01-20,4073.65
2023-01-21,4201.47
2023-01-22,4266.87
2023-01-23,3667.76
2023-01-24,1400.22
2023-01-25,2096.17
2023-01-26,4261.98
2023-01-27,1994.29
2023-01-28,1353.43
2023-01-29,2757.59
2023-01-30,2266.32
2023-01-31,1900.24
2023-02-01,3178.4
2023-02-02,1968.86
2023-02-03,1973.23
2023-02-04,4034.48
2023-02-05,4381.17
2023-02-06,2138.87
2023-02-07,917.63
2023-02-08,4155.05
2023-02-09,2943.94
2023-02-10,3817.15
2023-02-11,1314.07
2023-02-12,1471.46
2023-02-13,864.08
2023-02-14,1265.83
2023-02-15,4604.34
2023-02-16,3578.54
2023-02-17,3584.62
2023-02-18,4428.27
2023-02-19,3823.42
2023-02-20,1669.78
2023-02-21,1510.3
2023-02-22,1829.46
2023-02-23,3135.32
2023-02-24,1479.28
2023-02-25,2356.65
2023-02-26,1951.22
2023-02-27,1748.35
2023-02-28,953.75
