Date,Power
1/2/2023,2361.83
1/3/2023,4069.86
1/4/2023,4960.12
1/5/2023,3875.58
1/6/2023,2314.27
1/7/2023,0
1/8/2023,0
1/9/2023,1225.36
1/10/2023,2545.01
1/11/2023,4787.59
1/12/2023,5382.03
1/13/2023,4070.75
1/14/2023,4930.01
1/15/2023,5290.74
1/16/2023,4575.07
1/17/2023,2723.46
1/18/2023,3580.88
1/19/2023,3442.85
1/20/2023,4508.49
1/21/2023,4607.61
1/22/2023,4816.39
1/23/2023,4846.41
1/24/2023,5463.53
1/25/2023,2298.8
1/26/2023,4673.97
1/27/2023,2187.07
1/28/2023,1484.26
1/29/2023,3024.16
1/30/2023,3869.22
1/31/2023,3168.8
2/1/2023,3635.6
2/2/2023,2159.18
2/3/2023,2163.98
2/4/2023,4424.47
2/5/2023,4961
2/6/2023,4658.99
2/7/2023,2941.62
2/8/2023,4564.99
2/9/2023,3228.53
2/10/2023,4221.99
2/11/2023,1441.1
2/12/2023,2144.9
2/13/2023,4292.91
2/14/2023,4239.59
2/15/2023,5381.22
2/16/2023,3924.46
2/17/2023,3931.13
2/18/2023,4859.47
2/19/2023,4418.65
2/20/2023,4937.22
2/21/2023,4320.46
2/22/2023,2006.3
2/23/2023,3691.8
2/24/2023,1622.27
2/25/2023,2584.46
2/26/2023,2139.84
2/27/2023,2744.27
2/28/2023,3515.15
