Date,Power
2023-01-02,703.63
2023-01-03,2543.95
2023-01-04,4522.9
2023-01-05,3533.97
2023-01-06,2110.28
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,1117.35
2023-01-10,2320.68
2023-01-11,4365.58
2023-01-12,4907.63
2023-01-13,3711.93
2023-01-14,4495.45
2023-01-15,4824.39
2023-01-16,4171.8
2023-01-17,2483.4
2023-01-18,3265.24
2023-01-19,3139.38
2023-01-20,4111.08
2023-01-21,4201.47
2023-01-22,4391.85
2023-01-23,4419.22
2023-01-24,4785.0
2023-01-25,2096.17
2023-01-26,4261.98
2023-01-27,1994.29
2023-01-28,1353.43
2023-01-29,2757.59
2023-01-30,3528.16
2023-01-31,2889.49
2023-02-01,3315.14
2023-02-02,1968.86
2023-02-03,1973.23
2023-02-04,4034.48
2023-02-05,4523.71
2023-02-06,4248.31
2023-02-07,2682.32
2023-02-08,4162.61
2023-02-09,2943.94
2023-02-10,3849.84
2023-02-11,1314.07
2023-02-12,1955.84
2023-02-13,2854.64
2023-02-14,3835.88
2023-02-15,4906.89
2023-02-16,3578.54
2023-02-17,3584.62
2023-02-18,4431.13
2023-02-19,4029.17
2023-02-20,4502.02
2023-02-21,3939.63
2023-02-22,1829.46
2023-02-23,3366.39
2023-02-24,1479.28
2023-02-25,2356.65
2023-02-26,1951.22
2023-02-27,2502.38
2023-02-28,3205.3
