Date,Power
1/2/2023,202
1/3/2023,520.02
1/4/2023,4086.77
1/5/2023,3533.97
1/6/2023,2107.33
1/7/2023,0
1/8/2023,0
1/9/2023,194.58
1/10/2023,635.57
1/11/2023,4365.58
1/12/2023,4857.66
1/13/2023,3633.76
1/14/2023,4476.28
1/15/2023,4762.74
1/16/2023,3770.25
1/17/2023,1626.02
1/18/2023,3265.24
1/19/2023,3139.38
1/20/2023,4073.65
1/21/2023,4201.47
1/22/2023,4266.87
1/23/2023,3667.76
1/24/2023,1400.22
1/25/2023,2096.17
1/26/2023,4261.98
1/27/2023,1994.29
1/28/2023,1353.43
1/29/2023,2757.59
1/30/2023,2266.32
1/31/2023,1900.24
2/1/2023,3178.4
2/2/2023,1968.86
2/3/2023,1973.23
2/4/2023,4034.48
2/5/2023,4381.17
2/6/2023,2138.87
2/7/2023,917.63
2/8/2023,4155.05
2/9/2023,2943.94
2/10/2023,3817.15
2/11/2023,1314.07
2/12/2023,1471.46
2/13/2023,864.08
2/14/2023,1265.83
2/15/2023,4604.34
2/16/2023,3578.54
2/17/2023,3584.62
2/18/2023,4428.27
2/19/2023,3823.42
2/20/2023,1669.78
2/21/2023,1510.3
2/22/2023,1829.46
2/23/2023,3135.32
2/24/2023,1479.28
2/25/2023,2356.65
2/26/2023,1951.22
2/27/2023,1748.35
2/28/2023,953.75
