Date,Power
1/2/2023,587.22
1/3/2023,1184.01
1/4/2023,5984.15
1/5/2023,3875.58
1/6/2023,2313.95
1/7/2023,0
1/8/2023,0
1/9/2023,1124.16
1/10/2023,1586.71
1/11/2023,5297.89
1/12/2023,5376.55
1/13/2023,4062.18
1/14/2023,4927.9
1/15/2023,5283.98
1/16/2023,4531.03
1/17/2023,2629.43
1/18/2023,3580.88
1/19/2023,3442.85
1/20/2023,4504.38
1/21/2023,4607.61
1/22/2023,4802.69
1/23/2023,4764
1/24/2023,2935.57
1/25/2023,2298.8
1/26/2023,4673.97
1/27/2023,2187.07
1/28/2023,1484.26
1/29/2023,3024.16
1/30/2023,3730.84
1/31/2023,2937.91
2/1/2023,3743.01
2/2/2023,2159.18
2/3/2023,2163.98
2/4/2023,4424.47
2/5/2023,4945.37
2/6/2023,3745.63
2/7/2023,1643.71
2/8/2023,5326.79
2/9/2023,3228.53
2/10/2023,4218.41
2/11/2023,1441.1
2/12/2023,1991.54
2/13/2023,1389.97
2/14/2023,3051.83
2/15/2023,5348.04
2/16/2023,3924.46
2/17/2023,3931.13
2/18/2023,4859.16
2/19/2023,4396.09
2/20/2023,3231.19
2/21/2023,2475.84
2/22/2023,2586.75
2/23/2023,3666.46
2/24/2023,1622.27
2/25/2023,2584.46
2/26/2023,2139.84
2/27/2023,2661.58
2/28/2023,1807.45
